time temp control
0.02321648597717285 25.19 -30000
0.33478474617004395 25.17 -30000
0.33793091773986816 25.17 -30000
0.34076976776123047 25.17 -30000
0.3437643051147461 25.17 -30000
0.3467545509338379 25.17 -30000
0.35074281692504883 25.17 -30000
0.35373806953430176 25.17 -30000
0.3568155765533447 25.17 -30000
0.35985779762268066 25.17 -30000
0.3637087345123291 25.17 -30000
0.36908984184265137 25.17 -30000
0.3716881275177002 25.17 -30000
0.3746802806854248 25.17 -30000
0.38014721870422363 25.17 -30000
0.38213014602661133 25.17 -30000
0.38524365425109863 25.17 -30000
0.38816332817077637 25.17 -30000
0.39212608337402344 25.17 -30000
0.39565396308898926 25.17 -30000
0.3983633518218994 25.17 -30000
0.402099609375 25.17 -30000
0.4050943851470947 25.17 -30000
0.4080836772918701 25.17 -30000
0.41207146644592285 25.17 -30000
0.416062593460083 25.16 -30000
0.4190940856933594 25.16 -30000
0.42213964462280273 25.16 -30000
0.4260728359222412 25.16 -30000
0.42905759811401367 25.16 -30000
0.4321012496948242 25.16 -30000
0.4350087642669678 25.16 -30000
0.4380054473876953 25.16 -30000
0.4423656463623047 25.16 -30000
0.4453444480895996 25.16 -30000
0.4482557773590088 25.16 -30000
0.4511902332305908 25.16 -30000
0.4549572467803955 25.16 -30000
0.45894694328308105 25.16 -30000
0.46692681312561035 25.16 -30000
0.4709157943725586 25.16 -30000
0.473905086517334 25.16 -30000
0.47789454460144043 25.16 -30000
0.48088884353637695 25.16 -30000
0.48388099670410156 25.16 -30000
0.4878695011138916 25.16 -30000
0.49089884757995605 25.16 -30000
0.49485015869140625 25.16 -30000
0.49913716316223145 25.16 -30000
0.5048255920410156 25.16 -30000
0.5078167915344238 25.16 -30000
0.5108242034912109 25.16 -30000
0.513953685760498 25.16 -30000
0.5187880992889404 25.16 -30000
0.5227773189544678 25.16 -30000
0.5267641544342041 25.16 -30000
0.5299022197723389 25.16 -30000
0.5347449779510498 25.15 -30000
0.5380735397338867 25.15 -30000
0.5412263870239258 25.15 -30000
0.5437214374542236 25.15 -30000
0.5468759536743164 25.15 -30000
0.5507063865661621 25.15 -30000
0.5537018775939941 25.15 -30000
0.5566864013671875 25.15 -30000
0.5596880912780762 25.15 -30000
0.5626778602600098 25.15 -30000
0.5676589012145996 25.15 -30000
0.570655345916748 25.15 -30000
0.5749433040618896 25.15 -30000
0.5786991119384766 25.15 -30000
0.5826153755187988 25.15 -30000
0.5857338905334473 25.15 -30000
0.5898728370666504 25.15 -30000
0.5926852226257324 25.15 -30000
0.5965774059295654 25.15 -30000
0.5995702743530273 25.15 -30000
0.6025652885437012 25.15 -30000
0.6066653728485107 25.15 -30000
0.6096630096435547 25.15 -30000
0.6135377883911133 25.15 -30000
0.6166243553161621 25.15 -30000
0.6215126514434814 25.15 -30000
0.6245906352996826 25.15 -30000
0.6304867267608643 25.15 -30000
0.6344776153564453 25.15 -30000
0.636472225189209 25.15 -30000
0.6404609680175781 25.15 -30000
0.644451379776001 25.15 -30000
0.6474881172180176 25.15 -30000
0.650580644607544 25.15 -30000
0.6534273624420166 25.14 -30000
0.6564176082611084 25.14 -30000
0.6594135761260986 25.14 -30000
0.6631431579589844 25.14 -30000
0.6653952598571777 25.14 -30000
0.6685802936553955 25.14 -30000
0.6724214553833008 25.14 -30000
0.6774001121520996 25.14 -30000
0.6803929805755615 25.14 -30000
0.6833837032318115 25.14 -30000
0.6873369216918945 25.14 -30000
0.6923248767852783 25.14 -30000
0.6953160762786865 25.14 -30000
0.6976521015167236 25.14 -30000
0.7012999057769775 25.14 -30000
0.7052874565124512 25.14 -30000
0.7092800140380859 25.14 -30000
0.7122697830200195 25.13 -30000
0.7142627239227295 25.13 -30000
0.7182559967041016 25.13 -30000
0.7232413291931152 25.13 -30000
0.7262322902679443 25.13 -30000
0.729224681854248 25.13 -30000
0.7322180271148682 25.13 -30000
0.7352073192596436 25.13 -30000
0.7394096851348877 25.13 -30000
0.7431850433349609 25.13 -30000
0.7471761703491211 25.13 -30000
0.7501699924468994 25.13 -30000
0.755157470703125 25.13 -30000
0.7591421604156494 25.13 -30000
0.7621374130249023 25.13 -30000
0.7651350498199463 25.13 -30000
0.7691185474395752 25.13 -30000
0.7723047733306885 25.13 -30000
0.775099515914917 25.13 -30000
0.7781202793121338 25.13 -30000
0.7810969352722168 25.13 -30000
0.7860727310180664 25.13 -30000
0.7890622615814209 25.12 -30000
0.7920560836791992 25.12 -30000
0.8000330924987793 25.12 -30000
0.8030641078948975 25.12 -30000
0.8070147037506104 25.12 -30000
0.8110034465789795 25.12 -30000
0.8143317699432373 25.12 -30000
0.8190512657165527 25.12 -30000
0.8229801654815674 25.12 -30000
0.826962947845459 25.12 -30000
0.8300783634185791 25.12 -30000
0.8329479694366455 25.12 -30000
0.8369371891021729 25.12 -30000
0.8409252166748047 25.12 -30000
0.8439548015594482 25.12 -30000
0.847907543182373 25.12 -30000
0.8518984317779541 25.12 -30000
0.8568804264068604 25.12 -30000
0.8598809242248535 25.12 -30000
0.8660364151000977 25.12 -30000
0.869884729385376 25.11 -30000
0.8728833198547363 25.11 -30000
0.8758337497711182 25.11 -30000
0.8798229694366455 25.11 -30000
0.8828141689300537 25.11 -30000
0.8858065605163574 25.11 -30000
0.8887975215911865 25.11 -30000
0.8917899131774902 25.11 -30000
0.895777702331543 25.11 -30000
0.9057526588439941 25.11 -30000
0.9107787609100342 25.11 -30000
0.9137279987335205 25.11 -30000
0.916729211807251 25.11 -30000
0.9197168350219727 25.11 -30000
0.9237105846405029 25.11 -30000
