voltage time control
21.4 0.04284405708312988 5411.160000027159
21.4 0.14157986640930176 5445.000000000002
21.4 0.24131226539611816 5484.240000019783
21.4 0.33938121795654297 5518.080000034535
21.4 0.44011950492858887 5551.920000007378
21.4 0.536693811416626 5591.16000002716
21.4 0.6354286670684814 5625.000000000003
21.39 0.7370285987854004 5684.572297882493
21.4 0.8339836597442627 5688.999688112598
21.39 0.933668851852417 5757.746297888217
21.39 1.032365322113037 5780.681000004987
21.39 1.1301076412200928 5820.390999999944
21.39 1.2278437614440918 5854.325000014738
21.39 1.326798677444458 5887.898000012384
21.39 1.426565170288086 5927.608000007341
21.39 1.5292599201202393 5961.181000004988
21.39 1.6239955425262451 5995.11500001978
21.39 1.7234742641448975 6034.825000014737
21.39 1.823211431503296 6068.398000012384
21.39 1.920029878616333 6102.332000027177
21.38 2.0206804275512695 6165.964311936709
21.38 2.119652271270752 6190.818000019762
21.38 2.2173917293548584 6224.846000034597
21.38 2.316127061843872 6264.304000012345
21.38 2.414868116378784 6298.33200002718
21.38 2.5147109031677246 6332.3599999998705
21.38 2.611335515975952 6371.818000019763
21.38 2.7111103534698486 6405.846000034597
21.38 2.80696702003479 6439.8740000072885
21.38 2.906554937362671 6473.5400000049285
21.38 3.005282163619995 6513.3599999998705
21.38 3.103022813796997 6547.3880000147055
21.39 3.2028703689575195 6555.20831183955
21.39 3.301494836807251 6605.671000007306
21.39 3.39927339553833 6639.244000004953
21.39 3.4980216026306152 6673.178000019746
21.39 3.600693941116333 6712.888000014703
21.39 3.6944844722747803 6746.461000012349
21.39 3.7921814918518066 6780.395000027143
21.39 3.890913486480713 6814.328999999911
21.4 3.988652467727661 6829.3946880977155
21.4 4.088388204574585 6872.409000034447
21.4 4.18712592124939 6906.249000007289
21.41 4.285861253738403 6921.20568810503
21.41 4.383018255233765 6964.125999999931
21.42 4.482733726501465 6972.139702146894
21.42 4.581426382064819 7021.80000003427
21.43 4.6811583042144775 7029.7197021264665
21.43 4.7790281772613525 7073.559000005015
21.44 4.878675937652588 7088.628090907973
21.45 4.9763710498809814 7105.450702146889
21.46 5.07710075378418 7123.2583118394805
21.47 5.173919200897217 7148.75009091529
21.47 5.272577524185181 7190.6700000050505
21.49 5.371312618255615 7172.387404284028
21.5 5.474037408828735 7200.925702166069
21.51 5.568790435791016 7225.430688080539
21.52 5.667522430419922 7241.6787021588825
21.54 5.767301082611084 7233.564404238727
21.55 5.864137411117554 7268.271688097454
21.57 5.961772441864014 7258.411404298088
21.58 6.0545220375061035 7286.19770212682
21.6 6.156252145767212 7276.950623659878
21.62 6.254991054534912 7287.454181816627
21.64 6.354721307754517 7285.943404279117
21.66 6.451501369476318 7286.776623666753
21.68 6.551203966140747 7296.620181823582
21.7 6.648934841156006 7293.986623659965
21.73 6.748746871948242 7269.3151064158465
21.75 6.8474440574646 7288.79818183029
21.78 6.945181131362915 7259.667935493924
21.8 7.045614957809448 7270.729404290024
21.83 7.1423869132995605 7254.036064210613
21.85 7.240177869796753 7259.892404283442
21.87 7.339847803115845 7259.314404296273
21.9 7.438502788543701 7232.816106365665
21.93 7.53624415397644 7225.671064259221
21.96 7.634978771209717 7204.855106359594
21.99 7.732722759246826 7188.149106411461
22.01 7.831451416015625 7204.306376187027
22.04 7.931190490722656 7173.564106366034
22.07 8.029637336730957 7155.469935488362
22.11 8.12734055519104 7123.154363634464
22.14 8.227141618728638 7109.487106411327
22.17 8.326810598373413 7090.462935494198
22.2 8.426543712615967 7081.248272732494
22.23 8.522830724716187 7057.023935488483
22.26 8.62156367301941 7038.1231064149915
22.29 8.719305276870728 7018.597106426103
22.32 8.818120002746582 7007.2010642173955
22.36 8.918772220611572 6956.986808552743
22.39 9.01451325416565 6947.159106361228
22.43 9.10926103591919 6900.678808543585
22.46 9.208091497421265 6898.395064262408
22.5 9.306732416152954 6846.864808485982
22.53 9.403473138809204 6835.13093548949
22.57 9.502583742141724 6797.7553636362345
22.6 9.601044416427612 6779.764106411211
22.64 9.697686433792114 6730.616247321597
22.67 9.796508550643921 6718.61410641922
22.71 9.894090414047241 6678.79275228114
22.74 9.992826700210571 6659.819106414414
22.78 10.092557191848755 6610.048808555799
22.81 10.19129467010498 6603.950064217821
22.85 10.290032625198364 6549.129808551147
22.89 10.388764381408691 6508.963808482535
22.93 10.48750114440918 6477.3827523294985
22.96 10.589229106903076 6456.341106422669
23.0 10.686012744903564 6404.502808487182
23.04 10.784745216369629 6371.722752333541
23.08 10.883439302444458 6323.91480848347
23.12 10.982174158096313 6281.586808543866
23.16 11.081914186477661 6247.49875233687
23.2 11.181643962860107 6198.562808487704
23.24 11.278050184249878 6154.473247318882
23.28 11.378736734390259 6120.040363639404
23.32 11.475484132766724 6069.6428085437365
23.36 11.576304912567139 6024.437247322293
23.4 11.672040939331055 5979.934808549227
23.43 11.76969861984253 5967.078064215048
23.47 11.868427276611328 5906.429808545846
23.51 11.968201160430908 5860.435808551943
23.55 12.066277027130127 5822.09675228673
23.58 12.16502046585083 5795.227106416563
23.62 12.262845277786255 5737.5608084857395
23.66 12.361485719680786 5698.022752328697
23.7 12.461228609085083 5644.386808551136
23.74 12.564950227737427 5596.230808488933
23.78 12.659688472747803 5555.384752331219
23.82 12.75652289390564 5500.620808486732
23.86 12.857161045074463 5451.336808544105
23.9 12.95198917388916 5401.109247323014
23.94 13.049647808074951 5359.416363644457
23.98 13.14846420288086 5302.255247320865
24.02 13.250109195709229 5251.924808545257
24.06 13.34694218635559 5208.454363646503
24.1 13.443595170974731 5150.177247322976
24.14 13.542327642440796 5098.71880854688
24.18 13.641072273254395 5053.512752285536
24.22 13.742799997329712 4994.988808545038
24.26 13.837543964385986 4941.9448085480635
24.31 13.935279130935669 4862.792510609291
24.35 14.035014390945435 4826.37175232932
24.39 14.133753776550293 4766.249808489134
24.43 14.232489109039307 4711.607808544171
24.47 14.33123230934143 4663.240752329973
24.51 14.430988311767578 4601.99080849068
24.55 14.531684637069702 4545.718247322716
24.59 14.627429485321045 4496.8753636450765
