temp time control
21.18 0.02897167205810547 3831.8420000288174
21.18 0.12835311889648438 3867.7500000000005
21.18 0.22907567024230957 3909.3880000209906
21.18 0.32586145401000977 3945.295999992173
21.18 0.4255540370941162 3981.204000007827
21.18 0.5238308906555176 4016.730000005337
21.18 0.6215722560882568 4058.750000000001
21.18 0.7213122844696045 4094.27599999751
21.18 0.8200395107269287 4130.184000013163
21.18 0.9189395904541016 4172.204000007828
21.18 1.018510103225708 4207.7300000053365
21.18 1.1172516345977783 4243.63800002099
21.18 1.2159898281097412 4285.27599999751
21.18 1.3146803379058838 4321.184000013163
21.18 1.413421392440796 4357.092000028818
21.18 1.5121591091156006 4398.7300000053365
21.18 1.6089012622833252 4434.638000020991
21.18 1.7086255550384521 4470.545999992174
21.17 1.8073647022247314 4531.4673119351955
21.17 1.9059844017028809 4558.295000028911
21.17 2.0047190189361572 4594.297000000019
21.18 2.1044528484344482 4616.760688099032
21.18 2.2001962661743164 4661.842999992194
21.18 2.3020102977752686 4697.751000007847
21.18 2.3976690769195557 4733.277000005357
21.18 2.4964048862457275 4775.2970000000205
21.18 2.5922741889953613 4810.82299999753
21.18 2.692882776260376 4846.731000013184
21.18 2.7856290340423584 4882.6390000288375
21.18 2.8874144554138184 4924.277000005358
21.18 2.986100912094116 4960.185000021011
21.18 3.085831642150879 5001.822999997531
21.19 3.1835739612579346 5016.998702145437
21.19 3.2829062938690186 5063.451000028755
21.19 3.381641149520874 5099.265000000012
21.19 3.482370138168335 5140.794000020948
21.19 3.5791115760803223 5176.607999992206
21.19 3.677849292755127 5212.4220000078185
21.19 3.7775840759277344 5253.951000028754
21.19 3.876325845718384 5289.765000000012
21.19 3.9740612506866455 5325.197999997528
21.19 4.0708839893341064 5367.107999992206
21.19 4.172533273696899 5402.9220000078185
21.19 4.268273830413818 5438.355000005335
21.2 4.367005825042725 5453.436702153208
21.2 4.465752124786377 5505.4949999975515
21.2 4.5635762214660645 5541.215000013123
21.21 4.662180423736572 5556.202702160947
21.21 4.760003089904785 5608.152000005356
21.22 4.861641883850098 5623.045702153147
21.23 4.958458185195923 5648.483702111527
21.23 5.056126356124878 5700.215000013122
21.24 5.155890226364136 5714.920702160831
21.25 5.253758668899536 5740.1707021193615
21.25 5.350528955459595 5785.6839999977965
21.27 5.448236465454102 5788.5321818084585
21.28 5.548964738845825 5821.043702140123
21.29 5.645706653594971 5845.432311832617
21.3 5.750517129898071 5877.794090908176
21.32 5.843186140060425 5879.60362365225
21.33 5.941922426223755 5914.968702145183
21.35 6.04165244102478 5918.640404292429
21.37 6.138394117355347 5941.135376141969
21.39 6.237125873565674 5952.141404284913
21.41 6.335862159729004 5965.887404231482
21.43 6.432603120803833 5987.728376168893
21.44 6.53142237663269 6018.902702159737
21.46 6.631163597106934 6021.540404238981
21.48 6.729807376861572 6042.8363761761175
21.5 6.833535194396973 6052.808404231921
21.53 6.927278995513916 6044.788106404785
21.55 7.026080369949341 6075.95937618289
21.57 7.125750541687012 6085.273404239221
21.6 7.222497224807739 6075.911935480368
21.63 7.321225166320801 6087.967272717866
21.65 7.418965101242065 6105.453404272377
21.68 7.517790794372559 6095.347935487226
21.71 7.617437839508057 6096.617106415988
21.74 7.715217113494873 6106.543064203726
21.77 7.815902948379517 6102.513106409187
21.8 7.911654710769653 6102.593106422299
21.83 8.010390281677246 6111.538064210591
21.86 8.109119415283203 6106.6621064156825
21.89 8.207976341247559 6105.896106352694
21.92 8.30567455291748 6113.86006424631
21.96 8.404333114624023 6087.4058085539
21.99 8.502070903778076 6096.338106359375
22.02 8.603856801986694 6093.708935481671
22.05 8.700543403625488 6101.144272719748
22.09 8.799274444580078 6073.217808537055
22.12 8.899061679840088 6080.296935487596
22.15 8.999746799468994 6086.632272725819
22.19 9.0965256690979 6057.027247308983
22.22 9.195252180099487 6064.255106408461
22.25 9.293025493621826 6069.147272731531
22.29 9.392692804336548 6038.612247314772
22.32 9.491432189941406 6044.90010641383
22.35 9.589166641235352 6048.177064205312
22.39 9.688987970352173 6017.680808540535
22.43 9.7926607131958 6001.838808551067
22.47 9.886369705200195 5995.271752279212
22.5 9.984146356582642 5993.554106413461
22.54 10.082573175430298 5966.039808474504
22.58 10.181310653686523 5958.273752323391
22.61 10.282041311264038 5955.522106417996
22.65 10.378312587738037 5926.973808479867
22.69 10.479944467544556 5918.0087523281445
22.72 10.578680753707886 5914.22310635624
22.76 10.673428297042847 5884.640808537234
22.8 10.772198677062988 5864.643247315427
22.84 10.870977401733398 5855.050363635344
22.88 10.968677759170532 5828.11924731103
22.92 11.067376852035522 5808.128808539923
22.96 11.169190168380737 5796.758363639635
23.0 11.265839099884033 5768.7112473154
23.03 11.36461877822876 5768.3251064115475
23.07 11.462792873382568 5744.57975227568
23.11 11.562529802322388 5716.489808539731
23.15 11.661265134811401 5693.879808547312
23.19 11.761000633239746 5679.464752279875
23.22 11.860810995101929 5670.979106411186
23.26 11.95747709274292 5636.696808477648
23.3 12.05624794960022 5621.082752322583
23.34 12.15593934059143 5590.830808546497
23.38 12.253681898117065 5566.058808481576
23.41 12.353513717651367 5561.140935485659
23.45 12.45016074180603 5534.0853636336315
23.48 12.549890041351318 5522.822106405004
23.52 12.64863109588623 5485.490247315963
23.56 12.749361276626587 5467.977363636885
23.59 12.84459924697876 5455.195935485826
23.63 12.947321653366089 5417.778808539022
23.67 13.041109085083008 5398.598363639715
23.71 13.139811515808105 5363.948247315945
23.75 13.24059009552002 5336.1558085414445
23.78 13.337277889251709 5334.484064209416
23.82 13.437014102935791 5290.545808538781
